region,subregion,updated_at,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,retail_and_recreation_not_enough_data,grocery_and_pharmacy_not_enough_data,parks_not_enough_data,transit_stations_not_enough_data,workplaces_not_enough_data,residential_not_enough_data
Afghanistan,,2020-03-29,-0.38,-0.21,-0.13,-0.34,-0.33,0.1,,,,,,
Afghanistan,,2020-04-05,-0.45,-0.22,-0.13,-0.36,-0.38,0.12,,,,,,
Alabama,,2020-03-29,-0.41,-0.13,0.19,-0.3,-0.32,0.09,,,,,,
Alabama,,2020-04-05,-0.5,-0.18,-0.01,-0.4,-0.36,0.12,,,,,,
Alabama,Autauga County,2020-03-29,-0.42,-0.08,-0.14,,-0.35,0.16,,,True,True,,True
Alabama,Autauga County,2020-04-05,-0.53,-0.08,-0.14,,-0.38,0.17,,,True,True,,True
Alabama,Baldwin County,2020-03-29,-0.47,-0.19,-0.27,-0.24,-0.32,0.09,,,,,,
Alabama,Baldwin County,2020-04-05,-0.55,-0.27,-0.44,-0.39,-0.35,0.11,,,,,,
Alabama,Barbour County,2020-03-29,-0.27,-0.2,,,-0.23,,,,True,True,,True
Alabama,Barbour County,2020-04-05,-0.4,-0.2,,,-0.3,,,,True,True,,True
Alabama,Bibb County,2020-03-29,-0.25,-0.1,,,-0.32,,,,True,True,,True
Alabama,Bibb County,2020-04-05,-0.42,-0.15,,,-0.35,,,,True,True,,True
Alabama,Blount County,2020-03-29,-0.36,-0.02,,,-0.29,0.15,,,True,True,,True
Alabama,Blount County,2020-04-05,-0.49,-0.17,,,-0.33,0.14,,,True,True,,True
Alabama,Bullock County,2020-03-29,-0.37,-0.13,,,-0.24,,True,True,True,True,True,True
Alabama,Bullock County,2020-04-05,-0.22,-0.27,,,-0.29,,True,True,True,True,True,True
Alabama,Butler County,2020-03-29,-0.37,-0.05,,-0.45,-0.3,,,,True,True,,True
Alabama,Butler County,2020-04-05,-0.47,-0.09,,-0.64,-0.3,,,,True,True,,True
Alabama,Calhoun County,2020-03-29,-0.4,-0.17,-0.22,,-0.33,0.08,,,True,True,,
Alabama,Calhoun County,2020-04-05,-0.53,-0.22,-0.22,,-0.36,0.11,,,True,True,,
Alabama,Chambers County,2020-03-29,-0.34,0.01,,-0.12,-0.28,0.13,,,True,True,,True
Alabama,Chambers County,2020-04-05,-0.46,-0.12,,-0.29,-0.36,0.15,,,True,True,,True
Alabama,Cherokee County,2020-03-29,-0.24,0.06,,,-0.29,,,,True,True,,True
Alabama,Cherokee County,2020-04-05,-0.41,-0.05,,,-0.31,,,,True,True,,True
Alabama,Chilton County,2020-03-29,-0.41,-0.11,,-0.27,-0.26,0.14,,,True,,,True
Alabama,Chilton County,2020-04-05,-0.49,-0.14,,-0.45,-0.32,0.13,,,True,,,True
Alabama,Choctaw County,2020-03-29,-0.13,-0.16,,,-0.28,,True,,True,True,True,True
Alabama,Choctaw County,2020-04-05,-0.13,-0.19,,,-0.38,,True,,True,True,True,True
Alabama,Clarke County,2020-03-29,-0.27,-0.24,,,-0.27,,,,True,True,,True
Alabama,Clarke County,2020-04-05,-0.4,-0.29,,,-0.27,,,,True,True,,True
Alabama,Clay County,2020-03-29,-0.33,-0.14,,,-0.2,,True,True,True,True,True,True
Alabama,Clay County,2020-04-05,-0.43,-0.2,,,-0.26,,True,True,True,True,True,True
Alabama,Cleburne County,2020-03-29,-0.22,-0.03,,-0.36,-0.09,,True,,True,True,True,True
Alabama,Cleburne County,2020-04-05,-0.35,-0.13,,-0.48,-0.16,,True,,True,True,True,True
Alabama,Coffee County,2020-03-29,-0.28,-0.15,,,-0.26,0.11,,,True,True,,True
Alabama,Coffee County,2020-04-05,-0.42,-0.19,,,-0.33,0.13,,,True,True,,True
Alabama,Colbert County,2020-03-29,-0.3,-0.06,-0.14,-0.2,-0.22,0.12,,,True,,,True
